material entropic redshift and the rsvp stack	Material: Entropic Redshift and the RSVP Stack	citation-only	1	standardgalactic/alphabet/projects/entropic-redshift-supplement.tex
building forth from spherepop primitives stacks continuations and recursive control	Building Forth from Spherepop Primitives: Stacks, Continuations, and Recursive Control	draft	2	peterlodri-sec/vim-philosophy/building-forth.tex
clio a unified architecture of feeling cognition and coherence 6pt solmsian affective neuroscience rsvp field theory and recursive inference	CLIO: A Unified Architecture of Feeling, Cognition, and Coherence [6pt] Solmsian Affective Neuroscience, RSVP Field Theory, and Recursive Inference	draft	1	standardgalactic/library/vault/draft-01.tex
calculus as the geometry of relationship and controlled change a structural textbook on differential and integral theory	Calculus as the Geometry of Relationship and Controlled Change A Structural Textbook on Differential and Integral Theory	draft	1	standardgalactic/calculus/Calculus - main text - draft 01.tex
cinematic reconstruction 4pt a framework for video generation compression and diagnosis via persistent world state	Cinematic Reconstruction [4pt] A Framework for Video Generation, Compression, and Diagnosis via Persistent World State	draft	8	8b-is/8b-public-documents/cinematic-reconstruction.tex
civilizations as hypotheses simulation repair and the architecture of admissible futures	Civilizations as Hypotheses Simulation, Repair, and the Architecture of Admissible Futures	draft	1	standardgalactic/alphabet/document/civic_simulator.tex
complexity weighted surprise minimization as a variational field theory continuous functional analytic and information geometric foundations	Complexity-Weighted Surprise Minimization as a Variational Field Theory: Continuous, Functional-Analytic, and Information-Geometric Foundations	draft	1	standardgalactic/antivenom/active-inference/surprise-minimization-draft-01.tex
computation constraint and resource geometry in the flash reluctance engine	Computation, Constraint, and Resource Geometry in the Flash--Reluctance Engine	draft	1	standardgalactic/cosmology/working/resource-geometry.tex
computing with spherepop foundations of geometric merge collapse computation	Computing with Spherepop: Foundations of Geometric Merge--Collapse Computation	draft	1	standardgalactic/spherepop/computing-with-spherepop.tex
consciousness as gait the rsvp cpg framework for cyclical cognition memory and sleep	Consciousness as Gait: The RSVP--CPG Framework for Cyclical Cognition, Memory, and Sleep	draft	1	standardgalactic/alphabet/monograph/essay.tex
constraint before image 0 5em a text physics engine for semantic analysis and multi modal projection	Constraint Before Image [0.5em] A Text Physics Engine for Semantic Analysis and Multi-Modal Projection	draft	1	standardgalactic/human/projects/textbot.tex
constraint first topology foam cobordisms nilpotent transport and immersed singularities as admissibility geometry	Constraint-First Topology: Foam Cobordisms, Nilpotent Transport, and Immersed Singularities as Admissibility Geometry	draft	1	standardgalactic/research-projects/working/constraint-first-topology.tex
constraints of asymptotically safe quantum gravity on scalar tensor theories and cosmic strings	Constraints of Asymptotically Safe Quantum Gravity on Scalar-Tensor Theories and Cosmic Strings	draft	2	standardgalactic/kitbash/asymptotic_safety.tex
continuations before objects 0 6em a geometric theory of intelligent persistence	Continuations Before Objects [0.6em] A Geometric Theory of Intelligent Persistence	draft	1	standardgalactic/research-projects/admissibility-lab/continuations_before_objects.tex
developmental opacity	Developmental Opacity	draft	1	standardgalactic/haplopraxis/under-construction/developmental-opacity.tex
distinction geometry projection reconstruction defect and the interface native metric 0 5em mathematical core	Distinction Geometry: Projection, Reconstruction Defect, and the Interface-Native Metric [0.5em] Mathematical Core	draft	1	standardgalactic/cosmology/working/distinction-geometry-core.tex
distributed minds and generative substrates threshold diffusion causal insulation and the architecture of inference at scale	Distributed Minds and Generative Substrates: Threshold Diffusion, Causal Insulation, and the Architecture of Inference at Scale	draft	1	standardgalactic/research-projects/working/distributed_cognition.tex
embodied constraint and minimal assembly 0 5em articulation markedness and the economy of stroke in the arabic script	Embodied Constraint and Minimal Assembly: [0.5em] Articulation, Markedness, and the Economy of Stroke in the Arabic Script	draft	1	standardgalactic/alphabet/Embodied Constraint.tex
entropy as infrastructure a categorical and bioeconomic framework for useful computation as heat semantic merging and polycomputational agency	Entropy as Infrastructure: A Categorical and Bioeconomic Framework for Useful Computation as Heat, Semantic Merging, and Polycomputational Agency	draft	1	standardgalactic/kitbash/research/essay/draft-01/thermal-infrastructure.tex
entropy bounded sparse semantic calculus ebssc a unified framework for geometric semantics and sparse policy control	Entropy-Bounded Sparse Semantic Calculus (EBSSC) A Unified Framework for Geometric Semantics and Sparse Policy Control	draft	1	standardgalactic/research-projects/semantic-calculus/EBSSC-draft-02.tex
entropy bounded sparse semantic calculus ebssc a unified syntax and semantics for spherepop and latent policy selection	Entropy-Bounded Sparse Semantic Calculus (EBSSC) A Unified Syntax and Semantics for SpherePOP and Latent Policy Selection	draft	1	standardgalactic/research-projects/semantic-calculus/EBSSC-draft-01.tex
event nodes and texture nodes extending causal mechanistic interpretability with event historical structure	Event-Nodes and Texture-Nodes: Extending Causal Mechanistic Interpretability with Event-Historical Structure	draft	1	standardgalactic/research-projects/interpretability/Event-Nodes and Texture-nodes - draft 01.tex
executable diagnostic coordinates a reference implementation of the repair warrant objective	Executable Diagnostic Coordinates: A Reference Implementation of the Repair-Warrant Objective	draft	1	standardgalactic/diagnostic-coordinates/monograph.tex
execution history and reduction a minimal operational kernel for computation	Execution, History, and Reduction: A Minimal Operational Kernel for Computation	draft	3	standardgalactic/spherepop/working/execution history.tex
execution history and reduction toward a minimal operational kernel of computation	Execution, History, and Reduction: Toward a Minimal Operational Kernel of Computation	draft	1	standardgalactic/spherepop/working/execution history - draft 02.tex
facebook and the degradation of social reality advertising attention and structural harm	Facebook and the Degradation of Social Reality: Advertising, Attention, and Structural Harm	draft	1	standardgalactic/antivenom/diatribe - draft 01.tex
flow computing 0 4em wavefronts invocation and the logically determined workflow	Flow Computing [0.4em] Wavefronts, Invocation, and the Logically Determined Workflow	draft	2	standardgalactic/calculus/baseline/computing_as_flow.tex
friction as inoculation holistic training under bounded difficulty	Friction as Inoculation: Holistic Training Under Bounded Difficulty	draft	1	standardgalactic/antivenom/rhetoric/Friction as Inoculation - Draft 01.tex
from catharsis to geometric bayesianism rsvp and the demise of the hydraulic model	From Catharsis to Geometric Bayesianism: RSVP and the Demise of the Hydraulic Model	draft	1	standardgalactic/kitbash/research/psychology/draft-01/emotions.tex
from classifier to inverse engine gesture recognition as latent embodied semantic reconstruction	From Classifier to Inverse Engine: Gesture Recognition as Latent Embodied Semantic Reconstruction	draft	1	8b-is/8b-public-documents/working/gesture_review.tex
from frailty and waste to informational security rsvp as a foundation for idea routing and civic coherence	From Frailty and Waste to Informational Security: RSVP as a Foundation for Idea Routing and Civic Coherence	draft	3	standardgalactic/kitbash/research/working/essay.tex
function survives collapse 0 4em admissibility entropy flow and the geometry of persistent computation	Function Survives Collapse [0.4em] Admissibility, Entropy Flow, and the Geometry of Persistent Computation	draft	2	standardgalactic/alphabet/working/function_survives_collapse.tex
functorial integration of bennett s mechanistic ai model into rsvp theory from non diverging gr uneisen parameters to self aware agents	Functorial Integration of Bennett's Mechanistic AI Model into RSVP Theory: From Non-Diverging Gr"uneisen Parameters to Self-Aware Agents	draft	2	standardgalactic/gamma-waves/projects/draft-01/essay.tex
gallery before feed why engagement optimized interfaces destroy coherence and how merge aware systems restore meaning	Gallery Before Feed: Why Engagement-Optimized Interfaces Destroy Coherence and How Merge-Aware Systems Restore Meaning	draft	2	standardgalactic/research-projects/Gallery Before Feed.tex
generative continuation geometry 0 3em working draft	Generative Continuation Geometry [0.3em] Working Draft	draft	1	standardgalactic/computation/processing/draft/generative_continuation_geometry.tex
geometric memory as trajectory influence on a generative substrate	Geometric Memory as Trajectory Influence on a Generative Substrate	draft	4	standardgalactic/library/resources/draft-01/geometric-memory.tex
global constraints geometric mass and evolutionary relaxation a unified historical and theoretical monograph	Global Constraints, Geometric Mass, and Evolutionary Relaxation: A Unified Historical and Theoretical Monograph	draft	1	standardgalactic/typing-tutor/essay/global-constraints.tex
globally persistent recomposable thought 4pt github the intelligence explosion and the admissibility geometry of collective cognition	Globally Persistent Recomposable Thought [4pt] GitHub, the Intelligence Explosion, and the Admissibility Geometry of Collective Cognition	draft	3	standardgalactic/spherepop/intelligence-explosion.tex
histories become operators biological notes on retained admissibility	Histories Become Operators: Biological Notes on Retained Admissibility	draft	2	standardgalactic/computation/histories-become-operators.tex
identity collapse and the platforming of fraud structural trust degradation in facebook s design	Identity Collapse and the Platforming of Fraud: Structural Trust Degradation in Facebook's Design	draft	2	standardgalactic/standardgalactic.github.io/critique/Identity Collapse - draft 02.tex
identity as namespace entropy reputation and metric collapse in platform architectures	Identity as Namespace: Entropy, Reputation, and Metric Collapse in Platform Architectures	draft	2	standardgalactic/library/Identity as Namespace - draft 01.tex
incompleteness null signals and the cosmological plenum	Incompleteness, Null Signals, and the Cosmological Plenum	draft	3	standardgalactic/kitbash/cosmology/working/draft-05/incompleteness.tex
induced homogeneity aspirational pages and the collapse of meaning under engagement optimization	Induced Homogeneity Aspirational Pages and the Collapse of Meaning Under Engagement Optimization	draft	1	standardgalactic/antivenom/Induced Homogeneity.tex
learn to reason about history 0 3em a seven volume git curriculum 0 3em series plan and chapter outlines	Learn to Reason About History [0.3em] A Seven-Volume Git Curriculum [0.3em] Series Plan and Chapter Outlines	draft	1	standardgalactic/computation/version-control/git-series-plan.tex
ledger and junk opacity as the condition of generativity in computational systems	Ledger and Junk: Opacity as the Condition of Generativity in Computational Systems	draft	4	standardgalactic/kitbash/thesis/thesis.tex
local tractability and global dysfunction epistemic efficiency institutional ritual and the logic of non intervention	Local Tractability and Global Dysfunction Epistemic Efficiency, Institutional Ritual, and the Logic of Non-Intervention	draft	1	standardgalactic/research-projects/Local Tractability and Global Dysfunction - draft 01.tex
magi and the geometry of learning a stratified riemannian framework extending sgdm	MAGI and the Geometry of Learning: A Stratified Riemannian Framework Extending SGDM	draft	1	standardgalactic/alphabet/projects/processing/draft-01.tex
magi as a geometric generalization of momentum based optimization	MAGI as a Geometric Generalization of Momentum-Based Optimization	draft	1	standardgalactic/alphabet/projects/processing/draft-02.tex
mind at work detecting agentic intelligence through the effective assembly index and praxicon framework	Mind at Work: Detecting Agentic Intelligence through the Effective Assembly Index and Praxicon Framework	draft	1	standardgalactic/alphabet/essay/drafts/mind_at_work.tex
monotonic continuation intelligence across unequal timescales	Monotonic Continuation: Intelligence Across Unequal Timescales	draft	2	standardgalactic/computation/monotonic-continuation.tex
protocol zero 6pt the algorithmic deconstruction of arabic 2pt a manifesto in ten lectures	PROTOCOL ZERO [6pt] The Algorithmic Deconstruction of Arabic [2pt] A Manifesto in Ten Lectures	draft	2	standardgalactic/arabic-flashcards/protocol-zero.tex
paintings as sheaves of latent physical structure	Paintings as Sheaves of Latent Physical Structure	draft	2	standardgalactic/video-player/resources/monograph-draft-01.tex
personal superintelligence and the collapse of the feed algorithmic coherence attention economies and the loss of public sensemaking	Personal Superintelligence and the Collapse of the Feed Algorithmic Coherence, Attention Economies, and the Loss of Public Sensemaking	draft	1	standardgalactic/research-projects/Personal Superintelligence.tex
plenumhub semantic plenum	PlenumHub — Semantic Plenum	draft	1	standardgalactic/research-projects/plenumhub_stage3/paper/main.tex
plenumhub a homotopy coherent substrate for semantic versioning proof carrying merges and entropy laxed knowledge evolution	PlenumHub: A Homotopy–Coherent Substrate for Semantic Versioning, Proof-Carrying Merges, and Entropy-Laxed Knowledge Evolution	draft	1	standardgalactic/research-projects/PlenumHub/draft-01/monograph.tex
policy selection in the latent action space a unifying theory of thought inference and sparse agency	Policy Selection in the Latent Action Space: A Unifying Theory of Thought, Inference, and Sparse Agency	draft	3	standardgalactic/research-projects/policy-selection/draft-01/monograph.tex
process projection and propagative reality whiteheadian occasions rsvp fields and the geometry of recursive stabilization	Process, Projection, and Propagative Reality: Whiteheadian Occasions, RSVP Fields, and the Geometry of Recursive Stabilization	draft	1	8b-is/8b-public-documents/working/propagative_reality.tex
propagating constraint fields and dynamic structural redistribution toward a field theoretic interpretation of neural heterogeneity and collective cell migration	Propagating Constraint Fields and Dynamic Structural Redistribution: Toward a Field-Theoretic Interpretation of Neural Heterogeneity and Collective Cell Migration	draft	2	standardgalactic/alphabet/working/constraint-propagation.tex
quadratic gravity as a derived interface theory admissibility manifolds projection geometry and the emergence of observable physics	Quadratic Gravity as a Derived Interface Theory: Admissibility Manifolds, Projection Geometry, and the Emergence of Observable Physics	draft	1	standardgalactic/cosmology/working/admissibility-interface.tex
recursive continuation autopoiesis sympoiesis and the compression of self modification	Recursive Continuation Autopoiesis, Sympoiesis, and the Compression of Self-Modification	draft	2	standardgalactic/alphabet/example/recursive-continuation.tex
recursive futarchy	Recursive Futarchy	draft	1	standardgalactic/kitbash/economics/essay.tex
silicon cartography constraint first programming for spatial chips	Silicon Cartography Constraint-First Programming for Spatial Chips	draft	1	8b-is/8b-public-documents/working/silicon_cartography.tex
spectacle runtime and the compression of meaning temporal form social media and the reformatting of collective belief 0 5em a study in media ecology and epistemic architecture	Spectacle Runtime and the Compression of Meaning: Temporal Form, Social Media, and the Reformatting of Collective Belief [0.5em] A Study in Media Ecology and Epistemic Architecture	draft	2	standardgalactic/alphabet/Spectacle Runtime - draft 01.tex
spherepop the rsvp field in complex phase space	SpherePop: The RSVP Field in Complex Phase Space	draft	1	standardgalactic/alphabet/aphantasia/quantum-spherepop-draft-01.tex
spherepop calculus a geometric and probabilistic extension of lambda calculus	Spherepop Calculus: A Geometric and Probabilistic Extension of Lambda Calculus	draft	1	standardgalactic/spherepop/essay/draft-01/essay.tex
spherepop os a deterministic semantic operating system formal specification architectural rationale and foundations of pre linguistic intelligence	Spherepop OS: A Deterministic Semantic Operating System Formal Specification, Architectural Rationale, and Foundations of Pre-Linguistic Intelligence	draft	1	standardgalactic/research-projects/epistemology/Spherepop-OS-extended.tex
steam formed cellulose domes morphogenetic construction using intermittent steam inflation and magnet directed reinforcement	Steam-Formed Cellulose Domes: Morphogenetic Construction Using Intermittent Steam Inflation and Magnet-Directed Reinforcement	draft	1	standardgalactic/research-projects/working/steam_cellulose_domes.tex
takeoff trajectories in the stars rsvp tech tree simulator implications for ai alignment civilizational scaling and morphogenetic governance	Takeoff Trajectories in the Stars! RSVP Tech Tree Simulator: Implications for AI Alignment, Civilizational Scaling, and Morphogenetic Governance	draft	3	standardgalactic/research-projects/monograph/draft-03.tex
the bicameral illusion spectral attractors and autoregressive cognition	The Bicameral Illusion: Spectral Attractors and Autoregressive Cognition	draft	2	standardgalactic/library/essay/essay.tex
the calculus of commitment a structural theory of computation	The Calculus of Commitment A Structural Theory of Computation	draft	1	standardgalactic/spherepop/The Calculus of Commitment.tex
the categorical structure of alignment representation motivation and the preservation of normative invariants	The Categorical Structure of Alignment:\ Representation, Motivation, and the Preservation of Normative Invariants	draft	1	standardgalactic/research-projects/categorical-structure-of-alignment-v1.tex
the deliberate collapse of cognitive multiplicity event driven intelligence spherepop and the reckless design of big tech interfaces	The Deliberate Collapse of Cognitive Multiplicity: Event-Driven Intelligence, Spherepop, and the Reckless Design of Big Tech Interfaces	draft	2	standardgalactic/antivenom/event-history-draft-01.tex
the ecology of thought 0 8em environment as a persistent computational structure	The Ecology of Thought [0.8em] Environment as a Persistent Computational Structure	draft	1	standardgalactic/spherepop/textbook/ecology-of-thought.tex
the economics of irreversibility 0 3em from event cost to historical field three scales of a single quantity	The Economics of Irreversibility [0.3em] From Event Cost to Historical Field: Three Scales of a Single Quantity	draft	1	standardgalactic/calculus/processing/economics-of-irreversibility.tex
the narrow path between domination and chaos consent coordination and structural control in the age of accelerating intelligence	The Narrow Path Between Domination and Chaos: Consent, Coordination, and Structural Control in the Age of Accelerating Intelligence	draft	1	standardgalactic/research-projects/The Narrow Path.tex
the politics of oracle free evaluation constraint generativity and the problem of validation	The Politics of Oracle-Free Evaluation: Constraint, Generativity, and the Problem of Validation	draft	3	standardgalactic/kitbash/processing/Draft 3.tex
the role of silence in knowledge systems	The Role of Silence in Knowledge Systems	draft	3	standardgalactic/kitbash/operations/essay-02/draft-03.tex
toward a top level ontology of entropic histories a scalar vector entropy foundation for ontology engineering	Toward a Top-Level Ontology of Entropic Histories: A Scalar--Vector--Entropy Foundation for Ontology Engineering	draft	2	standardgalactic/kitbash/top-level-ontology-draft-01.tex
trajectory inference emergent structure and the return of dynamical thought contemporary scientific convergences across neuroscience cosmology machine learning and biological computation	Trajectory Inference, Emergent Structure, and the Return of Dynamical Thought: Contemporary Scientific Convergences Across Neuroscience, Cosmology, Machine Learning, and Biological Computation	draft	1	standardgalactic/research-projects/rsvp-lab/trajectory_inference.tex
two channel causal mediation event nodes texture nodes and irreversibility in mechanistic interpretability	Two-Channel Causal Mediation: Event-Nodes, Texture-Nodes, and Irreversibility in Mechanistic Interpretability	draft	1	standardgalactic/research-projects/interpretability/Two-Channel Causal Mediation - draft 01.tex
univalent photonics 0 5em coherence transport and admissibility geometry	Univalent Photonics 0.5em Coherence, Transport, and Admissibility Geometry	draft	2	standardgalactic/alphabet/physics/univalent-photonics.tex
user friendliness as an ecological danger the predatory enshittification of digital interfaces	User Friendliness as an Ecological Danger: The Predatory Enshittification of Digital Interfaces	draft	9	standardgalactic/library/monograph/draft-03/monograph.tex
zebra distributed semantic infrastructure and the functorial realization of text as collaborative media	Zebra: Distributed Semantic Infrastructure and the Functorial Realization of Text as Collaborative Media	draft	1	standardgalactic/human/projects/zebra-architecture.tex
a multimodal flash reluctance engine 0 4em thermodynamic electromagnetic and mechanical coupling in a regulated rotational energy transducer	% A Multimodal Flash--Reluctance Engine: [0.4em] Thermodynamic, Electromagnetic, and Mechanical Coupling in a Regulated Rotational Energy Transducer%	standalone	1	standardgalactic/research-projects/paper/flash_reluctance_engine.tex
accessibility relaxation and friedmann instability 6pt an rsvp reinterpretation of cosmological saddle geometry	% Accessibility Relaxation and Friedmann Instability [6pt] An RSVP Reinterpretation of Cosmological Saddle Geometry	standalone	1	standardgalactic/cosmology/accessibility-relaxation.tex
biodiversity as infrastructure 0 5em toward the universalization of living roofs 0 2em a thermodynamic and ecological argument for architectural necessity	% Biodiversity as Infrastructure [0.5em] Toward the Universalization of Living Roofs: [0.2em] A Thermodynamic and Ecological Argument for Architectural Necessity	standalone	1	standardgalactic/research-projects/Aurora/biodiversity-as-infrastructure.tex
computation beyond data 0 4em constraints reachability and memory as foundations of complex systems	% Computation Beyond Data [0.4em] Constraints, Reachability, and Memory as Foundations of Complex Systems	standalone	1	standardgalactic/computation/abstraction/computation-beyond-data.tex
computação além dos dados 0 4em restrições acessibilidade e memória como fundamentos de sistemas complexos	% Computação Além dos Dados [0.4em] Restrições, Acessibilidade e Memória como Fundamentos de Sistemas Complexos	standalone	1	standardgalactic/computation/abstraction/computacao_alem_dos_dados.tex
constraint first gauge gravity toward a reconstruction of the standard model from rsvp field geometry	% Constraint-First Gauge Gravity: Toward a Reconstruction of the Standard Model from RSVP Field Geometry	standalone	2	standardgalactic/alphabet/physics/gauge-gravity.tex
kernel operators memory and field theoretic dynamics 0 5em dynamics as functionals of trajectories	% Kernel Operators, Memory, and Field-Theoretic Dynamics [0.5em] Dynamics as Functionals of Trajectories	standalone	1	standardgalactic/calculus/kernel-memory.tex
procedural generation of attention gaze trajectories and the grammar of cinematic space	% Procedural Generation of Attention: Gaze Trajectories and the Grammar of Cinematic Space%	standalone	1	standardgalactic/alphabet/roadmap/procedural-attention.tex
process distinction and reachability 0 6em a comprehensive briefing on the flyxion research program 0 3em covering rsvp admissibility distinguishability geometry repair theory cpr and the broader software and creative ecosystem	% Process, Distinction, and Reachability [0.6em] A Comprehensive Briefing on the Flyxion Research Program [0.3em] Covering RSVP, Admissibility, Distinguishability Geometry, Repair Theory, CPR, and the Broader Software and Creative Ecosystem	standalone	1	standardgalactic/alphabet/roadmap/flyxion_briefing.tex
rsvp cosmology 12pt field equations admissibility and the geometry of distinction	% RSVP Cosmology [12pt] Field Equations, Admissibility, and the Geometry of Distinction	standalone	1	standardgalactic/cosmology/monograph.tex
the armillary sphere and the thought experiment 0 4em on proposals that are neither blueprints nor metaphors	% The Armillary Sphere and the Thought Experiment [0.4em] On Proposals That Are Neither Blueprints Nor Metaphors	standalone	1	standardgalactic/computation/abstraction/armillary_sphere.tex
the unreadability of dynamic readability an explicit specification of a conceptualization 0 5em progressive methodological refinement and increasingly rigorous framework instantiation	% The Unreadability of Dynamic Readability: An Explicit Specification of a Conceptualization [0.5em] Progressive Methodological Refinement and Increasingly Rigorous Framework Instantiation	standalone	1	standardgalactic/kitbash/processing/unreadability.tex
too coherent to be real 0 4em szukalski creative obstinacy documentary unreality and the problem of the frictionless subject	% Too Coherent to Be Real [0.4em] Szukalski, Creative Obstinacy, Documentary Unreality, and the Problem of the Frictionless Subject	standalone	1	standardgalactic/computation/abstraction/creative-obstinacy.tex
urban expansion in the earth system 4pt a reduced form eco climate laboratory for infrastructure carbon climate feedbacks	% Urban Expansion in the Earth System [4pt] A Reduced-Form Eco-Climate Laboratory for Infrastructure--Carbon--Climate Feedbacks	standalone	1	standardgalactic/ecological-models/urban_eco_climate.tex
when systems change their minds 0 4em distributed agency institutional attractors and the reconfiguration of economic priorities	% When Systems Change Their Minds [0.4em] Distributed Agency, Institutional Attractors, and the Reconfiguration of Economic Priorities	standalone	1	standardgalactic/computation/abstraction/distributed-agency.tex
s undo stack on markov boundaries coordination costs and the recurring regression of progress	's Undo Stack On Markov Boundaries, Coordination Costs, and the Recurring Regression of Progress	standalone	1	standardgalactic/calculus/baseline/markov_boundaries.tex
1 2cm the xylomorphic premise 0 5em waste heat physical co computation and the architecture of post carbon infrastructure	-1.2cm% The Xylomorphic Premise [0.5em] Waste Heat, Physical Co-Computation, and the Architecture of Post-Carbon Infrastructure	standalone	1	standardgalactic/antivenom/futurology/xylomorphic-premise.tex
1cm selection without design 0 5em constraint projection and the geometry of the unseen	-1cm Selection Without Design [0.5em] Constraint, Projection, and the Geometry of the Unseen	standalone	1	standardgalactic/standardgalactic/epistemology/selection_without_design.tex
a canonicalization utility for spherepop os	: A Canonicalization Utility for Spherepop OS	standalone	1	standardgalactic/spherepop/prototypes/canonicalization.tex
extensions interpretations and new directions	: Extensions, Interpretations, and New Directions	standalone	1	standardgalactic/research-projects/RSVP-Monograph/Volume-III-Extensions/main-vol3.tex
mathematical foundations of lamphrodynamic field theory	: Mathematical Foundations of Lamphrodynamic Field Theory	standalone	1	standardgalactic/research-projects/RSVP-Monograph/Volume-I-Foundations/main-vol1.tex
physical applications cosmology and gravity 4pt emergent spacetime entropic gravity and observational predictions	: Physical Applications: Cosmology and Gravity [4pt] Emergent Spacetime, Entropic Gravity, and Observational Predictions	standalone	1	standardgalactic/research-projects/RSVP-Monograph/Volume-II-Applications/main-vol2.tex
a categorical and bioeconomic framework for useful computation as heat semantic merging and polycomputational agency	A Categorical and Bioeconomic Framework for Useful Computation as Heat, Semantic Merging, and Polycomputational Agency	standalone	2	standardgalactic/kitbash/research/essay/thermal-infrastructure.tex
a history of machine learning 0 5em representations and the question of grounding	A History of Machine Learning [0.5em] , Representations, and the Question of Grounding	standalone	1	standardgalactic/memory/processing/book1-latex-source/main.tex
a manifest protocol for verification inheritance locators claim graphs and policy qualified trust for transformed scholarly artifacts	A Manifest Protocol for Verification Inheritance Locators, Claim Graphs, and Policy-Qualified Trust for Transformed Scholarly Artifacts	standalone	2	8b-is/claimshift/manifest-protocol-verification-inheritance.tex
a roadmap for implementing utilities in spherepop calculus	A Roadmap for Implementing Utilities in Spherepop Calculus	standalone	1	standardgalactic/spherepop/prototypes/roadmap.tex
a spoonful of poison how toxic scaffolds shape genius	A Spoonful of Poison: How Toxic Scaffolds Shape Genius	standalone	1	standardgalactic/antivenom/manuscript/essay.tex
a unified outline of rsvp research projects	A Unified Outline of RSVP Research Projects	standalone	1	standardgalactic/research-projects/progress-report.tex
